Quantity,Part ID,Description
1,PIC24EP512GP202-I/SP,PIC24 Microcontroller
1,1-2199298-9 ,DIP-28 Socket
1,LM1117T-3.3/NOPB ,LDO Voltage Regulator (3V3)
1,L77HDE15SD1CH4FVGA,VGA Connector DE-15
1,EG1224,Power Switch
1,61729-1011RLF,USB-B Receptacle
1,KMDGX-6S-BS ,PS/2 Keyboard Connector
1,SSQ-106-02-T-S-RA ,6-Pin Socket Horizontal
1,TSW-116-25-L-S-RA ,6-Pin Header Horizontal
1,TSW-116-25-L-S-RA,16-Pin Header Horizontal
3,42375-1866 ,13-Pin Header Vertical (Breakway)
1,PTS645VK83-2 LFS,"Tactile Switch (Right Angle, 8.3mm)"
6,TS02-66-130-BK-160-SCR-D ,Tactile Switch (6x6x13mm)
1,418117270904,4x DIP Switch
1,4609X-101-332LF ,8x Resistor Array 3.3K ohms
3,ESK106M100AE3EA ,10uF Capacitor Electrolytic Radial
2,UVR1H101MPD,100uF Capacitor Electrolytic Radial
4,K104K15X7RF5UL2 ,0.1uF Capacitor Ceramic MLCC
3,MFR-25FRF52-10K ,10K ohm resistor 1/4W 1%
6,MFR-25FRF52-1K1 ,1.1K ohm resistor 1/4W 1%
6,MFR-25FRF52-2K2 ,2.2K ohm resistor 1/4W 1%
3,MFR-25FTF52-390R ,390 ohm resistor 1/4W 1%
3,MFR-25FTF52-560R ,560 ohm resistor 1/4W 1%
3,MFR-25FBF52-820R ,820 ohm resistor 1/4W 1%
3,MFR-25FTF52-1K5 ,1.5K ohm resistor 1/4W 1%
